,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26,32307384,01/01/2016 12:10:12 AM,01/01/2016 07:39:25 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10304.0,,,,,TACOMA STREET,PROVIDENCE STREET,INTERSECTION,STATEN ISLAND,,Precinct,Closed,01/01/2016 08:10:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 07:39:25 AM,02 STATEN ISLAND,STATEN ISLAND,959692.0,157339.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.5985014447795,-74.0884326297098,"(40.5985014447795, -74.0884326297098)"
27,32306830,01/01/2016 12:10:19 AM,01/04/2016 02:06:26 PM,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Grating - Defective,Sidewalk,10022.0,,,,,LEXINGTON AVENUE,EAST   50 STREET,INTERSECTION,NEW YORK,,,Closed,01/11/2016 12:10:19 AM,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Metropolitan Transportation Authority.,01/04/2016 02:06:27 PM,05 MANHATTAN,MANHATTAN,991907.0,214890.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75649659469117,-73.97236197495663,"(40.75649659469117, -73.97236197495663)"
28,32308716,01/01/2016 12:11:25 AM,01/01/2016 03:14:00 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458.0,2644 DECATUR AVENUE,DECATUR AVENUE,EAST 194 STREET,EAST 195 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2016 08:11:25 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2016 03:14:00 AM,07 BRONX,BRONX,1014747.0,254034.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86388663107834,-73.88974296020218,"(40.863886631078344, -73.88974296020218)"
29,32317859,01/01/2016 12:11:42 AM,01/06/2016 01:10:11 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11210.0,1412 NEW YORK AVENUE,NEW YORK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",01/06/2016 01:10:11 AM,17 BROOKLYN,BROOKLYN,999425.0,171800.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63821491073936,-73.94532275975443,"(40.63821491073936, -73.94532275975443)"
30,32310232,01/01/2016 12:11:58 AM,01/01/2016 12:44:36 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11204.0,,,,,64 STREET,24 AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,01/01/2016 08:11:58 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2016 12:44:36 AM,11 BROOKLYN,BROOKLYN,990810.0,162161.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61176844745842,-73.97637294363797,"(40.61176844745842, -73.97637294363797)"
31,32306649,01/01/2016 12:12:15 AM,01/01/2016 07:51:44 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025.0,140 WEST 104 STREET,WEST 104 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:12:15 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2016 07:51:44 AM,07 MANHATTAN,MANHATTAN,993801.0,230239.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79862370810118,-73.96550374417565,"(40.79862370810118, -73.96550374417566)"
32,32309497,01/01/2016 12:12:45 AM,01/02/2016 12:14:47 AM,HPD,Department of Housing Preservation and Development,HPD Literature Request,The ABCs of Housing,,,,,,,,,,,,,Closed,01/02/2016 12:12:45 AM,"The literature will be emailed within 24 hours. If it is not received, please call 311 and submit a new request.",01/01/2016 12:14:44 AM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
33,32309385,01/01/2016 12:13:01 AM,01/01/2016 09:42:53 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10455.0,757 DAWSON STREET,DAWSON STREET,EAST 156 STREET,LONGWOOD AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2016 08:13:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 09:42:53 AM,02 BRONX,BRONX,1011912.0,237098.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81741161747582,-73.90006229643518,"(40.81741161747582, -73.90006229643517)"
34,32307315,01/01/2016 12:13:23 AM,01/01/2016 12:41:24 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027.0,133 WEST 132 STREET,WEST 132 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:13:23 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 12:41:24 AM,10 MANHATTAN,MANHATTAN,999937.0,235356.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81265969749149,-73.94332981742319,"(40.81265969749149, -73.94332981742318)"
35,32309792,01/01/2016 12:13:27 AM,01/01/2016 03:43:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237.0,,,,,SUYDAM STREET,ST NICHOLAS AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,01/01/2016 08:13:27 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 03:43:44 AM,04 BROOKLYN,BROOKLYN,1006548.0,196613.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.706305931739045,-73.91957571461724,"(40.70630593173905, -73.91957571461724)"
36,32309179,01/01/2016 12:13:59 AM,01/01/2016 03:55:39 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230.0,931 EAST 5 STREET,EAST 5 STREET,FOSTER AVENUE,WALSH COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:13:59 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2016 03:55:39 PM,14 BROOKLYN,BROOKLYN,991821.0,168348.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.628749667029155,-73.97272470140605,"(40.62874966702916, -73.97272470140605)"
